번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
"1","060310","3S","KOSDAQ","2024","03","기계·장비","0.46",,"500",,,,"48536642",
"2","095570","AJ네트웍스","KOSPI","2024","12","일반서비스","1.84",,"1000","270","5.7","55.936","45252759","12082783500"
"3","006840","AK홀딩스","KOSPI","2024","12","기타금융",,,"5000","400","4.02","-31.461","13247561","5218198000"
"4","054620","APS","KOSDAQ","2024","12","금융","0.71",,"500",,,,"19894221",
"5","265520","AP시스템","KOSDAQ","2024","12","기계·장비","0.68",,"500","530","3.3","15.373","15281421","7960671020"
"6","211270","AP위성","KOSDAQ","2024","12","운송장비·부품","1.48",,"500",,,,"15082304",
"7","109960","AP헬스케어","KOSDAQ","2024","12","유통","0.93",,"500",,,,"200789269",
"8","139050","BF랩스","KOSDAQ","2024","12","IT 서비스","0.72",,"500",,,,"8644551",
"9","027410","BGF","KOSPI","2024","12","기타금융",,,"1000","130","3.7","13.128","95716791","12442139580"
"10","282330","BGF리테일","KOSPI","2024","12","유통","2.73",,"1000","4100","3.9","36.281","17283906","70827561500"
"11","126600","BGF에코머티리얼즈","KOSDAQ","2024","12","화학","0.6",,"500","50","1.8","19.99","62766899","3096210000"
"12","138930","BNK금융지주","KOSPI","2024","12","기타금융",,,"5000","650","5.5","27.649","320436727","207359928950"
"13","001460","BYC","KOSPI","2024","12","섬유·의류","2.68",,"500","350","1.2","15.869","6246150","2920522945"
"14","083790","CG인바이츠","KOSDAQ","2024","12","일반서비스","0.48",,"500",,,,"76894182",
"15","001040","CJ","KOSPI","2024","12","기타금융",,,"5000","3000","3.2","66.606","29176998","100705766100"
"16","079160","CJ CGV","KOSPI","2024","12","오락·문화",,,"500",,,,"165580074",
"17","035760","CJ ENM","KOSDAQ","2024","12","오락·문화","0.7",,"5000",,,,"21929154",
"18","311690","CJ 바이오사이언스","KOSDAQ","2024","12","일반서비스","0.48",,"500",,,,"13065462",
"19","000120","CJ대한통운","KOSPI","2024","12","운송·창고","2.53",,"5000","800","1","5.947","22812344","15957051200"
"20","011150","CJ씨푸드","KOSPI","2024","12","음식료·담배","2.63",,"500",,,,"35930773",
"21","097950","CJ제일제당","KOSPI","2024","12","음식료·담배","2.63",,"5000","6000","2.4","26.588","15054186","96205416200"
"22","051500","CJ프레시웨이","KOSDAQ","2024","12","유통","0.93",,"1000","450","2.2","19.494","11871586","5342213700"
"23","058820","CMG제약","KOSDAQ","2024","12","제약","0.43",,"500",,,,"138892244",
"24","056730","CNT85","KOSDAQ","2024","12","건설","1.82",,"500",,,,"74111186",
"25","065770","CS","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"19411130",
"26","083660","CSA 코스믹","KOSDAQ","2024","12","화학","0.6",,"200",,,,"61247181",
"27","000590","CS홀딩스","KOSPI","2024","12","기타금융",,,"5000","500","0.7","1.361","1154482","515077000"
"28","012030","DB","KOSPI","2024","12","IT 서비스",,,"500",,,,"201173933",
"29","005830","DB손해보험","KOSPI","2024","12","보험","3.95",,"500","6800","7","22.032","70800000","408295589200"
"30","016610","DB증권","KOSPI","2024","12","증권","3.56",,"5000","400","6.9","30.321","42446389","16051555600"
"31","000990","DB하이텍","KOSPI","2024","12","전기·전자","1.59",,"5000","1230","2.72","22.033","44398588","50540816400"
"32","099520","DGI","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"45281824",
"33","060900","DGP","KOSDAQ","2024","12","전기·가스·수도",,,"1000",,,,"25258229",
"34","000300","DH오토넥스","KOSPI","2024","12","전기·전자","1.59",,"500",,,,"79101178",
"35","290120","DH오토리드","KOSDAQ","2024","12","운송장비·부품","1.48",,"500","80","3.6","53.989","15515138","1241211040"
"36","025440","DH오토웨어","KOSDAQ","2024","12","전기·전자","0.51",,"500",,,,"30781224",
"37","015590","DKME","KOSPI","2024","12","기계·장비","1.55",,"500",,,,"236981544",
"38","000210","DL","KOSPI","2024","12","화학","1.64",,"5000","1000","3","23.934","20955884","22699006800"
"39","375500","DL이앤씨","KOSPI","2024","12","건설","2.23",,"5000","540","1.7","10.046","38693623","23028146030"
"40","068790","DMS","KOSDAQ","2024","12","기계·장비","0.68",,"500","100","1.61","5.599","24573061","2257022400"
