번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
1,060310,3S,KOSDAQ,"2,024",3,기계·장비,0.46,-,500,-,-,-,"48,536,642",-
2,060310,3S,KOSDAQ,"2,022",3,기계·장비,0.54,-,500,-,-,-,"46,271,513",-
3,060310,3S,KOSDAQ,"2,023",3,기계·장비,0.54,-,500,-,-,-,"48,536,642",-
4,095570,AJ네트웍스,KOSPI,"2,024",12,일반서비스,1.84,-,"1,000",270,5.7,55.936,"45,252,759","12,082,783,500"
5,095570,AJ네트웍스,KOSPI,"2,023",12,일반서비스,0.87,-,"1,000",270,5.4,73.681,"45,252,759","12,136,787,010"
6,095570,AJ네트웍스,KOSPI,"2,022",12,일반서비스,0.78,-,"1,000",270,4.6,137.826,"46,822,295","12,087,310,320"
7,006840,AK홀딩스,KOSPI,"2,022",12,기타금융,-,-,"5,000",200,1.19,-2.192,"13,247,561","2,609,099,000"
8,006840,AK홀딩스,KOSPI,"2,024",12,기타금융,-,-,"5,000",400,4.02,-31.461,"13,247,561","5,218,198,000"
9,006840,AK홀딩스,KOSPI,"2,023",12,기타금융,-,-,"5,000",200,1.15,2.001,"13,247,561","2,609,099,000"
10,054620,APS,KOSDAQ,"2,024",12,금융,0.71,-,500,-,-,-,"19,894,221",-
11,054620,APS,KOSDAQ,"2,022",12,금융,1.62,-,500,-,-,-,"20,394,221",-
12,054620,APS,KOSDAQ,"2,023",12,금융,0.34,-,500,-,-,-,"20,394,221",-
13,265520,AP시스템,KOSDAQ,"2,024",12,기계·장비,0.68,-,500,530,3.3,15.373,"15,281,421","7,960,671,020"
14,265520,AP시스템,KOSDAQ,"2,023",12,반도체,0.59,-,500,270,1.2,6.755,"15,281,421","4,055,436,180"
15,265520,AP시스템,KOSDAQ,"2,022",12,반도체,0.96,-,500,270,1.4,4.934,"15,281,421","4,057,596,180"
16,211270,AP위성,KOSDAQ,"2,023",12,통신장비,0.53,-,500,70,0.53,9.476,"15,082,304","996,321,270"
17,211270,AP위성,KOSDAQ,"2,024",12,운송장비·부품,1.48,-,500,-,-,-,"15,082,304",-
18,211270,AP위성,KOSDAQ,"2,022",12,통신장비,0.59,-,500,70,0.7,24.438,"15,082,304","996,321,270"
19,109960,AP헬스케어,KOSDAQ,"2,023",12,유통,0.63,-,500,-,-,-,"66,207,070",-
20,109960,AP헬스케어,KOSDAQ,"2,024",12,유통,0.93,-,500,-,-,-,"200,789,269",-
21,109960,AP헬스케어,KOSDAQ,"2,022",12,유통,0.81,-,500,-,-,-,"178,695,217",-
22,139050,BF랩스,KOSDAQ,"2,023",12,컴퓨터서비스,0.75,-,500,-,-,-,"8,310,005",-
23,139050,BF랩스,KOSDAQ,"2,022",12,컴퓨터서비스,0.95,-,500,-,-,-,"106,098,527",-
24,139050,BF랩스,KOSDAQ,"2,024",12,IT 서비스,0.72,-,500,-,-,-,"8,644,551",-
25,027410,BGF,KOSPI,"2,024",12,기타금융,-,-,"1,000",130,3.7,13.128,"95,716,791","12,442,139,580"
26,027410,BGF,KOSPI,"2,023",12,기타금융,-,-,"1,000",120,3.1,16.612,"95,716,791","11,485,051,920"
27,027410,BGF,KOSPI,"2,022",12,기타금융,-,-,"1,000",110,2.5,40.218,"95,716,791","10,527,964,260"
28,282330,BGF리테일,KOSPI,"2,023",12,유통,2.13,-,"1,000","4,100",3.1,36.165,"17,283,906","70,827,561,500"
29,282330,BGF리테일,KOSPI,"2,024",12,유통,2.73,-,"1,000","4,100",3.9,36.281,"17,283,906","70,827,561,500"
30,282330,BGF리테일,KOSPI,"2,022",12,유통,2.79,-,"1,000","4,100",2,36.596,"17,283,906","70,827,561,500"
31,126600,BGF에코머티리얼즈,KOSDAQ,"2,023",12,화학,0.48,-,500,70,1.5,-37.97,"54,033,275","3,723,340,320"
32,126600,BGF에코머티리얼즈,KOSDAQ,"2,024",12,화학,0.6,-,500,50,1.8,19.99,"62,766,899","3,096,210,000"
