Ticker,Name (Click to Read Analysis),Rating,Price at Time of Rating,Stock Price,Fair Value Price,Percent Fair Value,Dividend Yield,Valuation Return,Growth Return,Expected Total Return,Dividend Risk Score,P/E Ratio,Forward EPS Estimate (or Similar Metric),Annual Dividend Payments,Payout Ratio,Years of Dividend Growth,Dividend Growth Rate,Ex-Dividend Date,Security Type,International,Sector,Market Cap (millions),Last Report Upload,Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJT,San Juan Basin Royalty Trust,Sell,$6.80,$5.84,$1.00,584.0%,1.9%,-29.7%,25.0%,-6.4%,A,53.1,$0.11,$0.11,100.0%,0,25.3%,,Stock,No,Energy,$0,2025-05-29,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVL,Permianville Royalty Trust,Sell,$1.65,$1.85,$0.20,925.0%,1.1%,-35.9%,25.0%,-15.2%,A,92.5,$0.02,$0.02,100.0%,0,24.6%,,Stock,No,Energy,$0,2025-05-28,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNGDF,Dynacor Group Inc.,Hold,$3.44,$3.66,$4.40,83.2%,4.4%,3.8%,8.0%,15.3%,C,9.2,$0.40,$0.16,40.0%,7,7.5%,,Stock,Yes,Materials,,2025-07-14,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBT,Permian Basin Royalty Trust,Sell,$11.00,$15.55,$3.00,518.3%,1.5%,-28.0%,15.0%,-12.9%,C,67.6,$0.23,$0.23,100.0%,0,14.9%,2025-07-31,Stock,No,Energy,$0,2025-05-28,Aristofanis Papadatos,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAL,Grupo Aval Acciones y Valores S.A.,Hold,$2.74,$2.95,$3.00,98.3%,4.7%,0.3%,7.0%,11.2%,D,9.8,$0.30,$0.14,46.7%,1,5.2%,2025-07-31,Stock,Yes,Financials,,2025-05-22,Ian Bezek,,,,,,,,,,,,,,,,,,,,,,,,,,,
WSR,Whitestone REIT,Hold,$12.39,$12.06,$12.60,95.7%,4.5%,0.9%,6.0%,10.7%,D,11.5,$1.05,$0.54,51.4%,3,5.9%,2025-08-01,REIT,No,Real Estate,$617,2025-07-31,Kay Ng,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,Realty Income Corp.,Hold,$57.00,$57.10,$59.00,96.8%,5.7%,0.7%,4.0%,9.5%,D,13.5,$4.24,$3.23,76.2%,28,3.7%,2025-08-01,REIT,No,Real Estate,"$52,198",2025-05-19,Samuel Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,Agree Realty Corp.,Hold,$72.00,$73.87,$77.00,95.9%,4.2%,0.8%,4.0%,8.5%,D,17.2,$4.29,$3.08,71.8%,13,4.0%,2025-07-31,REIT,No,Real Estate,"$8,175",2025-05-15,Felix Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRP.UN,Granite Real Estate Investment Trust,Hold,$49.00,$54.89,$56.00,98.0%,4.5%,0.4%,3.0%,7.4%,D,13.2,$4.17,$2.47,59.2%,14,3.0%,,REIT,Yes,Real Estate,,2025-05-25,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHCUF,Flagship Communities Real Estate Investment Trust,Hold,$17.49,$17.60,$16.90,104.1%,3.5%,-0.8%,4.0%,6.4%,D,13.5,$1.30,$0.62,47.7%,4,3.9%,,REIT,No,Real Estate,,2025-05-14,Nikos Sismanis,,,,,,,,,,,,,,,,,,,,,,,,,,,
