section,accuracy,relevance,coherence,fluency,consistency,redundancy,final
연구개발 목표,0.8,0.008264462809917356,0.04391559364464917,0.898325628403984,0.7222222222222222,0.12113095235437925,0.5052939825382953
연구개발 내용,0.8,0.005050505050505051,0.04222754459279091,0.7434551133465411,1.0,0.10928034603622605,0.5100458423270178
연구개발성과 활용계획 및 기대효과,0.8,0.0024154589371980675,0.02816806957975141,0.7951374026383577,0.7142857142857143,0.12542175956562857,0.4842737115711522
연구기획과제의 개요,0.8,0.02197802197802198,0.03240288186524746,0.8171509072682134,1.0,0.16666666666666666,0.5167821501922193
연구개발과제의 배경,0.8,0.004901960784313725,0.02816806957975141,0.7951374026383577,0.7142857142857143,0.12542175956562857,0.4847710119405753
연구개발과제의 필요성,0.8,0.004,0.032865723008272965,0.781969933555361,1.0,0.13945248145628297,0.5107233864893305
보안등급의 분류 및 해당 사유,0.8,0.02,0.05232359249595177,0.8245077231309084,1.0,0.22899946492295947,0.5152409304765306
기술개발 핵심어(키워드),0.8,0.005555555555555556,0.034486958038016616,0.7612943148340601,1.0,0.12579957342153836,0.5096226926016696
연차별 개발목표,0.8,0.005434782608695652,0.2662014409326237,0.9079599333535139,0.5357142857142857,0.11166067141188128,0.5329265961415315
연차별 개발내용 및 범위,0.8,0.006329113924050633,0.06539356404626626,0.8107827951529136,0.6,0.12488328660385722,0.4834736262066147
추진방법 및 전략,0.8,0.002066115702479339,0.03226304372322386,0.7511798082629757,0.8571428571428572,0.10851048881537854,0.4944060399573349
과제 성과의 활용방안,0.8,0.006224066390041493,0.032455875324414116,0.8184179733704735,1.0,0.1468003011254515,0.5158186542359171
신규사업 신설의 기대효과,0.8,0.0,0.06042740180653948,0.8151040777242298,0.6136363636363636,0.13908945036028678,0.4818057833475501
사회적 가치 창출 계획,0.8,0.011363636363636364,0.02934926027160031,0.7146982279465792,0.5714285714285714,0.1524162860172197,0.4572485420601694
사회적 가치창출의 기대효과,0.8,0.008287292817679558,0.030982818918564844,0.7838499885999708,0.75,0.18163216986764352,0.4822683036504802
경제적 성과창출의 기대효과,0.8,0.010273972602739725,0.06284426992602689,0.8934719540470493,0.5357142857142857,0.12033242254872868,0.4901826279293665
신규 인력 채용 계획 및 활용 방안,0.8,0.016304347826086956,0.058993145090160154,0.8582551659921362,0.7222222222222222,0.11769012711804194,0.5042509829924879
