Index,Ticker,Name,Currency,EventDate,Dividend
NASDAQ-100,AAPL,Apple Inc.,USD,2020-11-06,0.205
NASDAQ-100,AAPL,Apple Inc.,USD,2021-02-05,0.205
NASDAQ-100,AAPL,Apple Inc.,USD,2021-05-07,0.22
NASDAQ-100,AAPL,Apple Inc.,USD,2021-08-06,0.22
NASDAQ-100,AAPL,Apple Inc.,USD,2021-11-05,0.22
NASDAQ-100,AAPL,Apple Inc.,USD,2022-02-04,0.22
NASDAQ-100,AAPL,Apple Inc.,USD,2022-05-06,0.23
NASDAQ-100,AAPL,Apple Inc.,USD,2022-08-05,0.23
NASDAQ-100,AAPL,Apple Inc.,USD,2022-11-04,0.23
NASDAQ-100,AAPL,Apple Inc.,USD,2023-02-10,0.23
NASDAQ-100,AAPL,Apple Inc.,USD,2023-05-12,0.24
NASDAQ-100,AAPL,Apple Inc.,USD,2023-08-11,0.24
NASDAQ-100,AAPL,Apple Inc.,USD,2023-11-10,0.24
NASDAQ-100,AAPL,Apple Inc.,USD,2024-02-09,0.24
NASDAQ-100,AAPL,Apple Inc.,USD,2024-05-10,0.25
NASDAQ-100,AAPL,Apple Inc.,USD,2024-08-12,0.25
NASDAQ-100,AAPL,Apple Inc.,USD,2024-11-08,0.25
NASDAQ-100,AAPL,Apple Inc.,USD,2025-02-10,0.25
NASDAQ-100,AAPL,Apple Inc.,USD,2025-05-12,0.26
NASDAQ-100,ADI,Analog Devices,USD,2020-08-27,0.62
NASDAQ-100,ADI,Analog Devices,USD,2020-12-03,0.62
NASDAQ-100,ADI,Analog Devices,USD,2021-02-25,0.69
NASDAQ-100,ADI,Analog Devices,USD,2021-05-27,0.69
NASDAQ-100,ADI,Analog Devices,USD,2021-08-26,0.69
NASDAQ-100,ADI,Analog Devices,USD,2021-12-02,0.69
NASDAQ-100,ADI,Analog Devices,USD,2022-02-24,0.76
NASDAQ-100,ADI,Analog Devices,USD,2022-05-27,0.76
NASDAQ-100,ADI,Analog Devices,USD,2022-08-29,0.76
NASDAQ-100,ADI,Analog Devices,USD,2022-12-02,0.76
NASDAQ-100,ADI,Analog Devices,USD,2023-02-24,0.86
NASDAQ-100,ADI,Analog Devices,USD,2023-06-02,0.86
NASDAQ-100,ADI,Analog Devices,USD,2023-09-01,0.86
NASDAQ-100,ADI,Analog Devices,USD,2023-12-01,0.86
NASDAQ-100,ADI,Analog Devices,USD,2024-03-04,0.92
NASDAQ-100,ADI,Analog Devices,USD,2024-06-04,0.92
NASDAQ-100,ADI,Analog Devices,USD,2024-09-03,0.92
NASDAQ-100,ADI,Analog Devices,USD,2024-12-09,0.92
NASDAQ-100,ADI,Analog Devices,USD,2025-03-04,0.99
NASDAQ-100,ADI,Analog Devices,USD,2025-06-04,0.99
NASDAQ-100,ADP,Automatic Data Processing,USD,2020-09-10,0.91
NASDAQ-100,ADP,Automatic Data Processing,USD,2020-12-10,0.93
NASDAQ-100,ADP,Automatic Data Processing,USD,2021-03-11,0.93
NASDAQ-100,ADP,Automatic Data Processing,USD,2021-06-10,0.93
NASDAQ-100,ADP,Automatic Data Processing,USD,2021-09-09,0.93
NASDAQ-100,ADP,Automatic Data Processing,USD,2021-12-09,1.04
NASDAQ-100,ADP,Automatic Data Processing,USD,2022-03-10,1.04
NASDAQ-100,ADP,Automatic Data Processing,USD,2022-06-09,1.04
NASDAQ-100,ADP,Automatic Data Processing,USD,2022-09-08,1.04
NASDAQ-100,ADP,Automatic Data Processing,USD,2022-12-08,1.25
NASDAQ-100,ADP,Automatic Data Processing,USD,2023-03-09,1.25
NASDAQ-100,ADP,Automatic Data Processing,USD,2023-06-08,1.25
NASDAQ-100,ADP,Automatic Data Processing,USD,2023-09-07,1.25
NASDAQ-100,ADP,Automatic Data Processing,USD,2023-12-07,1.4
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-03-07,1.4
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-06-14,1.4
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-09-13,1.4
NASDAQ-100,ADP,Automatic Data Processing,USD,2024-12-13,1.54
NASDAQ-100,ADP,Automatic Data Processing,USD,2025-03-14,1.54
NASDAQ-100,ADP,Automatic Data Processing,USD,2025-06-13,1.54
NASDAQ-100,AEP,American Electric Power,USD,2020-11-09,0.74
NASDAQ-100,AEP,American Electric Power,USD,2021-02-09,0.74
NASDAQ-100,AEP,American Electric Power,USD,2021-05-07,0.74
NASDAQ-100,AEP,American Electric Power,USD,2021-08-09,0.74
NASDAQ-100,AEP,American Electric Power,USD,2021-11-09,0.78
NASDAQ-100,AEP,American Electric Power,USD,2022-02-09,0.78
NASDAQ-100,AEP,American Electric Power,USD,2022-05-09,0.78
NASDAQ-100,AEP,American Electric Power,USD,2022-08-09,0.78
NASDAQ-100,AEP,American Electric Power,USD,2022-11-09,0.83
NASDAQ-100,AEP,American Electric Power,USD,2023-02-09,0.83
NASDAQ-100,AEP,American Electric Power,USD,2023-05-09,0.83
NASDAQ-100,AEP,American Electric Power,USD,2023-08-09,0.83
NASDAQ-100,AEP,American Electric Power,USD,2023-11-09,0.88
NASDAQ-100,AEP,American Electric Power,USD,2024-02-08,0.88
NASDAQ-100,AEP,American Electric Power,USD,2024-05-09,0.88
NASDAQ-100,AEP,American Electric Power,USD,2024-08-09,0.88
NASDAQ-100,AEP,American Electric Power,USD,2024-11-08,0.93
NASDAQ-100,AEP,American Electric Power,USD,2025-02-10,0.93
NASDAQ-100,AEP,American Electric Power,USD,2025-05-09,0.93
NASDAQ-100,AMAT,Applied Materials,USD,2020-08-19,0.22
NASDAQ-100,AMAT,Applied Materials,USD,2020-11-18,0.22
NASDAQ-100,AMAT,Applied Materials,USD,2021-02-24,0.22
NASDAQ-100,AMAT,Applied Materials,USD,2021-05-26,0.24
NASDAQ-100,AMAT,Applied Materials,USD,2021-08-25,0.24
NASDAQ-100,AMAT,Applied Materials,USD,2021-11-24,0.24
NASDAQ-100,AMAT,Applied Materials,USD,2022-02-22,0.24
NASDAQ-100,AMAT,Applied Materials,USD,2022-05-25,0.26
NASDAQ-100,AMAT,Applied Materials,USD,2022-08-24,0.26
NASDAQ-100,AMAT,Applied Materials,USD,2022-11-23,0.26
NASDAQ-100,AMAT,Applied Materials,USD,2023-02-22,0.26
NASDAQ-100,AMAT,Applied Materials,USD,2023-05-24,0.32
NASDAQ-100,AMAT,Applied Materials,USD,2023-08-23,0.32
NASDAQ-100,AMAT,Applied Materials,USD,2023-11-22,0.32
NASDAQ-100,AMAT,Applied Materials,USD,2024-02-21,0.32
NASDAQ-100,AMAT,Applied Materials,USD,2024-05-22,0.4
NASDAQ-100,AMAT,Applied Materials,USD,2024-08-22,0.4
NASDAQ-100,AMAT,Applied Materials,USD,2024-11-21,0.4
NASDAQ-100,AMAT,Applied Materials,USD,2025-02-20,0.4
NASDAQ-100,AMAT,Applied Materials,USD,2025-05-22,0.46
NASDAQ-100,ASML,ASML Holding,USD,2020-11-02,1.396
NASDAQ-100,ASML,ASML Holding,USD,2021-05-03,1.886
NASDAQ-100,ASML,ASML Holding,USD,2021-11-02,2.094
NASDAQ-100,ASML,ASML Holding,USD,2022-08-04,1.399
NASDAQ-100,ASML,ASML Holding,USD,2022-11-03,1.34
NASDAQ-100,ASML,ASML Holding,USD,2023-02-06,1.49
NASDAQ-100,ASML,ASML Holding,USD,2023-08-01,1.593
NASDAQ-100,ASML,ASML Holding,USD,2023-11-01,1.53
NASDAQ-100,ASML,ASML Holding,USD,2024-02-05,1.556
NASDAQ-100,ASML,ASML Holding,USD,2024-04-26,1.873
NASDAQ-100,ASML,ASML Holding,USD,2024-07-29,1.643
NASDAQ-100,ASML,ASML Holding,USD,2024-10-29,1.641
NASDAQ-100,ASML,ASML Holding,USD,2025-02-11,1.57
NASDAQ-100,ASML,ASML Holding,USD,2025-04-28,1.919
NASDAQ-100,AVGO,Broadcom,USD,2020-09-21,0.325
NASDAQ-100,AVGO,Broadcom,USD,2020-12-18,0.36
NASDAQ-100,AVGO,Broadcom,USD,2021-03-19,0.36
NASDAQ-100,AVGO,Broadcom,USD,2021-06-21,0.36
NASDAQ-100,AVGO,Broadcom,USD,2021-09-21,0.36
NASDAQ-100,AVGO,Broadcom,USD,2021-12-21,0.41
NASDAQ-100,AVGO,Broadcom,USD,2022-03-21,0.41
NASDAQ-100,AVGO,Broadcom,USD,2022-06-21,0.41
NASDAQ-100,AVGO,Broadcom,USD,2022-09-21,0.41
NASDAQ-100,AVGO,Broadcom,USD,2022-12-19,0.46
NASDAQ-100,AVGO,Broadcom,USD,2023-03-21,0.46
NASDAQ-100,AVGO,Broadcom,USD,2023-06-21,0.46
NASDAQ-100,AVGO,Broadcom,USD,2023-09-20,0.46
NASDAQ-100,AVGO,Broadcom,USD,2023-12-19,0.525
NASDAQ-100,AVGO,Broadcom,USD,2024-03-20,0.525
NASDAQ-100,AVGO,Broadcom,USD,2024-06-24,0.525
NASDAQ-100,AVGO,Broadcom,USD,2024-09-19,0.53
NASDAQ-100,AVGO,Broadcom,USD,2024-12-23,0.59
NASDAQ-100,AVGO,Broadcom,USD,2025-03-20,0.59
