Index,Ticker,Name,Currency,LastDividendDate,LastDividend,TTM_Dividend,TotalDividend_5y,EventsCount_5y,error
NASDAQ-100,KLAC,KLA Corporation,USD,2025-05-19,1.9,6.75,25.4,20,
NASDAQ-100,ADP,Automatic Data Processing,USD,2025-06-13,1.54,6.0200000000000005,24.009999999999994,20,
NASDAQ-100,LIN,Linde plc,USD,2025-06-04,1.5,5.779999999999999,24.506000000000004,20,
NASDAQ-100,PEP,PepsiCo,USD,2025-06-06,1.423,5.4879999999999995,23.872000000000007,20,
NASDAQ-100,TXN,Texas Instruments,USD,2025-07-31,1.36,5.44,24.28,20,
NASDAQ-100,FANG,Diamondback Energy,USD,2025-05-15,1.0,5.24,29.74,20,
NASDAQ-100,ASML,ASML Holding,USD,2025-04-28,1.919,5.130000000000001,22.930000000000003,14,
NASDAQ-100,COST,Costco,USD,2025-08-01,1.3,4.92,44.479999999999976,22,
NASDAQ-100,HON,Honeywell,USD,2025-05-16,1.13,4.47,20.369999999999994,20,
NASDAQ-100,PCAR,Paccar,USD,2025-05-14,0.33,4.26,14.650002,25,
NASDAQ-100,INTU,Intuit,USD,2025-07-10,1.04,4.16,15.96,20,
NASDAQ-100,PAYX,Paychex,USD,2025-07-21,1.08,4.12,16.680000000000003,20,
NASDAQ-100,NXPI,NXP Semiconductors,USD,2025-06-25,1.014,4.056,16.521999999999995,20,
NASDAQ-100,ADI,Analog Devices,USD,2025-06-04,0.99,3.8200000000000003,16.139999999999997,20,
NASDAQ-100,AEP,American Electric Power,USD,2025-05-09,0.93,3.6700000000000004,15.710000000000003,19,
NASDAQ-100,QCOM,Qualcomm,USD,2025-06-05,0.89,3.44,15.160000000000002,20,
NASDAQ-100,TMUS,T-Mobile US,USD,2025-05-30,0.88,3.29,5.24,7,
NASDAQ-100,MSFT,Microsoft,USD,2025-05-15,0.83,3.24,13.44,20,
NASDAQ-100,ROP,Roper Technologies,USD,2025-07-08,0.825,3.2249999999999996,13.451999999999998,20,
NASDAQ-100,GILD,Gilead Sciences,USD,2025-06-13,0.79,3.12,14.779999999999998,20,
NASDAQ-100,MAR,Marriott International,USD,2025-05-23,0.67,2.56,6.67,13,
NASDAQ-100,CDW,CDW Corporation,USD,2025-05-23,0.625,2.495,10.694999999999999,20,
NASDAQ-100,SBUX,Starbucks,USD,2025-05-16,0.61,2.4,9.99,19,
NASDAQ-100,AVGO,Broadcom,USD,2025-06-20,0.59,2.3,9.120000000000001,20,
NASDAQ-100,TRI,Thomson Reuters,USD,2025-05-15,0.595,2.27,14.51249,21,
NASDAQ-100,MDLZ,Mondelez International,USD,2025-06-30,0.47,1.88,7.779999999999998,20,
NASDAQ-100,MCHP,Microchip Technology,USD,2025-05-22,0.455,1.8190000000000002,6.6895,20,
NASDAQ-100,REGN,Regeneron Pharmaceuticals,USD,2025-05-20,0.88,1.76,1.76,2,
NASDAQ-100,VRSK,Verisk Analytics,USD,2025-06-13,0.45,1.68,6.759999999999999,20,
NASDAQ-100,AMAT,Applied Materials,USD,2025-05-22,0.46,1.6600000000000001,6.000000000000001,20,
NASDAQ-100,CSCO,Cisco,USD,2025-07-03,0.41,1.6199999999999999,7.7,20,
NASDAQ-100,KHC,Kraft Heinz,USD,2025-05-30,0.4,1.6,8.000000000000002,20,
NASDAQ-100,EXC,Exelon,USD,2025-05-12,0.4,1.56,6.751086000000001,20,
NASDAQ-100,CTAS,Cintas,USD,2025-05-15,0.39,1.56,6.2625,19,
NASDAQ-100,ROST,Ross Stores,USD,2025-06-10,0.405,1.546,6.002000000000002,18,
NASDAQ-100,CEG,Constellation Energy,USD,2025-05-16,0.388,1.4819999999999998,3.879999999999999,14,
NASDAQ-100,CMCSA,Comcast,USD,2025-07-02,0.33,1.28,5.599999999999999,20,
NASDAQ-100,CTSH,Cognizant,USD,2025-05-19,0.31,1.22,5.459999999999999,20,
NASDAQ-100,ODFL,Old Dominion Freight Line,USD,2025-06-04,0.28,1.08,3.55,20,
NASDAQ-100,FAST,Fastenal,USD,2025-07-29,0.22,1.05,4.11,12,
NASDAQ-100,AAPL,Apple Inc.,USD,2025-05-12,0.26,1.01,4.430000000000001,19,
NASDAQ-100,KDP,Keurig Dr Pepper,USD,2025-06-27,0.23,0.92,3.969999999999999,20,
NASDAQ-100,BKR,Baker Hughes,USD,2025-08-05,0.23,0.9,3.94,20,
NASDAQ-100,GOOGL,Alphabet Inc. (Class A),USD,2025-06-09,0.21,0.81,1.01,5,
NASDAQ-100,GOOG,Alphabet Inc. (Class C),USD,2025-06-09,0.21,0.81,1.01,5,
NASDAQ-100,CSX,CSX Corporation,USD,2025-05-30,0.13,0.5,2.1260000000000003,20,
NASDAQ-100,MU,Micron Technology,USD,2025-07-07,0.115,0.46,1.795,16,
NASDAQ-100,MRVL,Marvell Technology,USD,2025-07-11,0.06,0.24,1.2000000000000006,20,
NASDAQ-100,GEHC,GE HealthCare,USD,2025-07-25,0.035,0.135,0.31500000000000006,10,
NASDAQ-100,NVDA,Nvidia,USD,2025-06-11,0.01,0.04,0.11,20,
NASDAQ-100,INTC,Intel,USD,2024-08-07,0.125,0.0,4.297000000000001,16,
NASDAQ-100,AMZN,Amazon,USD,,,0.0,0.0,0,
NASDAQ-100,APP,AppLovin,USD,,,0.0,0.0,0,
NASDAQ-100,TEAM,Atlassian,USD,,,0.0,0.0,0,
NASDAQ-100,ARM,Arm Holdings,USD,,,0.0,0.0,0,
