epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2576,2.4703,5.59001,2.32845,0.00094,0.16667,0.00254,0.0006,2.4881,5.15827,2.71919,2.858e-05,2.858e-05,2.858e-05
2,22.7904,2.5652,5.59925,2.37191,0.00094,0.16667,0.00211,0.00059,2.39514,5.28742,2.72853,7.07426e-05,7.07426e-05,7.07426e-05
3,24.3078,2.42126,5.21558,2.17903,0.02113,0.72222,0.16378,0.03482,2.22307,3.96107,2.29788,0.000112056,0.000112056,0.000112056
4,26.024,2.10791,3.30382,1.89402,0.36524,0.83333,0.5459,0.1436,2.16821,3.99838,2.07332,0.000152521,0.000152521,0.000152521
5,27.7017,1.88309,2.45001,1.65565,0.32217,0.65807,0.49886,0.18338,2.23468,4.71778,2.08162,0.000192138,0.000192138,0.000192138
6,29.5384,1.78351,2.21617,1.62102,0.42697,0.69444,0.54319,0.19931,1.92846,4.6864,1.74737,0.000230905,0.000230905,0.000230905
7,31.5083,1.79265,1.95372,1.55864,0.52576,0.54263,0.60293,0.17992,2.07897,6.98995,1.8575,0.000268823,0.000268823,0.000268823
8,33.3604,1.70073,1.78719,1.48114,0.34418,0.52778,0.50638,0.26886,1.91066,5.45525,1.75519,0.000305893,0.000305893,0.000305893
9,35.0712,1.68461,1.60764,1.43193,0.49543,0.44444,0.3404,0.13549,2.1472,15.7192,2.01945,0.000342114,0.000342114,0.000342114
10,36.6846,1.7185,1.65357,1.49406,0.28458,0.44444,0.32359,0.16311,2.04514,10.7747,2.00395,0.000377486,0.000377486,0.000377486
11,38.3229,1.77701,1.51753,1.47698,0.11907,0.41667,0.23108,0.06874,2.39733,4.83387,2.31872,0.000412009,0.000412009,0.000412009
12,39.9217,1.64942,1.59532,1.46432,0.62274,0.44444,0.3897,0.2112,2.0248,3.80226,1.96616,0.000445684,0.000445684,0.000445684
13,41.5539,1.67724,1.49585,1.52504,0.48674,0.63889,0.55022,0.19995,2.26461,4.00936,2.09454,0.000478509,0.000478509,0.000478509
14,43.2804,1.69547,1.41064,1.4154,0.48292,0.55556,0.58355,0.22082,2.36304,3.50121,2.19079,0.000510486,0.000510486,0.000510486
15,45.3705,1.50773,1.24668,1.31518,0.75416,0.49685,0.4076,0.16128,2.01402,3.0385,2.06865,0.000541614,0.000541614,0.000541614
16,46.9482,1.57578,1.22691,1.37377,0.74728,0.48063,0.40818,0.15653,2.16509,3.0394,2.13346,0.000571893,0.000571893,0.000571893
17,48.5553,1.5881,1.25669,1.45508,0.78436,0.48617,0.42949,0.2019,2.38554,2.60836,2.47022,0.000601323,0.000601323,0.000601323
18,50.1386,1.47797,1.11051,1.37241,0.83546,0.5,0.63763,0.22311,2.33847,2.04381,2.43191,0.000629905,0.000629905,0.000629905
19,51.7054,1.50082,1.10157,1.34319,0.85593,0.5,0.59262,0.26416,2.3408,2.35833,2.33994,0.000657637,0.000657637,0.000657637
20,53.3576,1.40459,1.09475,1.31632,0.96629,0.5,0.58821,0.23557,2.46545,1.76981,2.4108,0.000684521,0.000684521,0.000684521
21,54.9517,1.38281,1.099,1.31505,0.96024,0.5,0.56787,0.27407,2.31259,1.88943,2.27336,0.000710556,0.000710556,0.000710556
22,56.9993,1.41111,0.96877,1.28408,0.99106,0.48923,0.53973,0.23085,2.31126,1.87017,2.2152,0.000735742,0.000735742,0.000735742
23,58.8076,1.32717,1.00812,1.29388,0.42221,0.5,0.44483,0.17889,2.3267,2.62414,2.24582,0.000760079,0.000760079,0.000760079
24,60.4177,1.41754,0.97706,1.26981,0.40383,0.48839,0.45674,0.21364,2.45993,3.99753,2.31094,0.000783568,0.000783568,0.000783568
25,61.985,1.33461,0.94973,1.25993,0.796,0.39816,0.49492,0.20897,2.25152,3.23552,2.17375,0.000806208,0.000806208,0.000806208
26,63.5588,1.46067,0.93009,1.25107,0.48065,0.27778,0.36347,0.2004,2.34735,6.33829,2.19224,0.000827998,0.000827998,0.000827998
27,65.2166,1.40348,0.9683,1.33166,0.56595,0.5218,0.54594,0.26702,2.17795,5.7287,2.16598,0.00084894,0.00084894,0.00084894
28,66.8244,1.30073,0.88106,1.23726,0.52116,0.55556,0.58924,0.3004,2.14082,3.80861,1.89847,0.000869033,0.000869033,0.000869033
29,68.5351,1.32467,0.88139,1.26251,0.52116,0.55556,0.58924,0.3004,2.14082,3.80861,1.89847,0.000888278,0.000888278,0.000888278
30,70.6308,1.30603,0.88335,1.22648,0.64349,0.69444,0.73319,0.25734,2.24385,1.61332,2.24492,0.000906673,0.000906673,0.000906673
31,72.2177,1.27634,0.86667,1.2563,0.87186,0.61111,0.68827,0.24702,2.24147,1.97195,2.41554,0.00092422,0.00092422,0.00092422
32,73.7984,1.25691,0.86605,1.21467,0.68068,0.75,0.77161,0.29893,2.20843,1.21495,2.33026,0.000940918,0.000940918,0.000940918
33,75.4377,1.25034,0.82922,1.21055,0.68068,0.75,0.77161,0.29893,2.20843,1.21495,2.33026,0.000956767,0.000956767,0.000956767
34,77.0688,1.17456,0.8246,1.20657,0.9728,0.66667,0.69753,0.36662,1.9345,1.15796,1.91846,0.000962146,0.000962146,0.000962146
35,78.699,1.15006,0.81552,1.1866,0.93851,0.66667,0.70728,0.25214,2.51988,1.7954,2.82883,0.000947999,0.000947999,0.000947999
36,80.9892,1.19002,0.76784,1.19924,0.56306,0.75,0.68082,0.31353,2.33559,2.07316,2.52507,0.000933851,0.000933851,0.000933851
37,82.9468,1.12317,0.74557,1.12987,0.56306,0.75,0.68082,0.31353,2.33559,2.07316,2.52507,0.000919704,0.000919704,0.000919704
38,84.5765,1.20774,0.74816,1.2122,0.8724,0.61111,0.65249,0.28242,2.30041,1.62285,2.43397,0.000905557,0.000905557,0.000905557
39,86.1607,1.18825,0.75041,1.15637,0.62408,0.75,0.76532,0.25664,2.5069,1.5869,2.59258,0.00089141,0.00089141,0.00089141
40,87.7631,1.21281,0.75351,1.16547,0.77752,0.81474,0.79584,0.3364,2.14802,1.33904,2.17479,0.000877263,0.000877263,0.000877263
41,89.3044,1.17898,0.71012,1.15465,0.77752,0.81474,0.79584,0.3364,2.14802,1.33904,2.17479,0.000863116,0.000863116,0.000863116
42,90.9035,1.11127,0.72438,1.15197,0.72671,0.75,0.71906,0.29488,2.34762,1.62689,2.19243,0.000848969,0.000848969,0.000848969
43,92.4802,1.11459,0.70192,1.14552,0.62342,0.5,0.639,0.31153,2.09198,1.5363,2.02819,0.000834822,0.000834822,0.000834822
44,94.2273,1.14307,0.71469,1.17924,0.95657,0.5,0.59388,0.34891,1.84006,1.44212,1.77834,0.000820675,0.000820675,0.000820675
45,96.1376,1.09622,0.68199,1.0898,0.95657,0.5,0.59388,0.34891,1.84006,1.44212,1.77834,0.000806528,0.000806528,0.000806528
