Index,Ticker,Name,Currency,EventDate,Dividend
S&P 500,A,Agilent Technologies,USD,2020-10-05,0.18
S&P 500,A,Agilent Technologies,USD,2021-01-04,0.194
S&P 500,A,Agilent Technologies,USD,2021-04-05,0.194
S&P 500,A,Agilent Technologies,USD,2021-07-02,0.194
S&P 500,A,Agilent Technologies,USD,2021-10-04,0.194
S&P 500,A,Agilent Technologies,USD,2022-01-03,0.21
S&P 500,A,Agilent Technologies,USD,2022-04-04,0.21
S&P 500,A,Agilent Technologies,USD,2022-07-01,0.21
S&P 500,A,Agilent Technologies,USD,2022-10-03,0.21
S&P 500,A,Agilent Technologies,USD,2022-12-30,0.225
S&P 500,A,Agilent Technologies,USD,2023-04-03,0.225
S&P 500,A,Agilent Technologies,USD,2023-06-30,0.225
S&P 500,A,Agilent Technologies,USD,2023-10-02,0.225
S&P 500,A,Agilent Technologies,USD,2023-12-29,0.236
S&P 500,A,Agilent Technologies,USD,2024-04-01,0.236
S&P 500,A,Agilent Technologies,USD,2024-07-02,0.236
S&P 500,A,Agilent Technologies,USD,2024-10-01,0.236
S&P 500,A,Agilent Technologies,USD,2024-12-31,0.248
S&P 500,A,Agilent Technologies,USD,2025-04-01,0.248
S&P 500,A,Agilent Technologies,USD,2025-07-01,0.248
S&P 500,AAPL,Apple Inc.,USD,2020-11-06,0.205
S&P 500,AAPL,Apple Inc.,USD,2021-02-05,0.205
S&P 500,AAPL,Apple Inc.,USD,2021-05-07,0.22
S&P 500,AAPL,Apple Inc.,USD,2021-08-06,0.22
S&P 500,AAPL,Apple Inc.,USD,2021-11-05,0.22
S&P 500,AAPL,Apple Inc.,USD,2022-02-04,0.22
S&P 500,AAPL,Apple Inc.,USD,2022-05-06,0.23
S&P 500,AAPL,Apple Inc.,USD,2022-08-05,0.23
S&P 500,AAPL,Apple Inc.,USD,2022-11-04,0.23
S&P 500,AAPL,Apple Inc.,USD,2023-02-10,0.23
S&P 500,AAPL,Apple Inc.,USD,2023-05-12,0.24
S&P 500,AAPL,Apple Inc.,USD,2023-08-11,0.24
S&P 500,AAPL,Apple Inc.,USD,2023-11-10,0.24
S&P 500,AAPL,Apple Inc.,USD,2024-02-09,0.24
S&P 500,AAPL,Apple Inc.,USD,2024-05-10,0.25
S&P 500,AAPL,Apple Inc.,USD,2024-08-12,0.25
S&P 500,AAPL,Apple Inc.,USD,2024-11-08,0.25
S&P 500,AAPL,Apple Inc.,USD,2025-02-10,0.25
S&P 500,AAPL,Apple Inc.,USD,2025-05-12,0.26
S&P 500,ABT,Abbott Laboratories,USD,2020-10-14,0.36
S&P 500,ABT,Abbott Laboratories,USD,2021-01-14,0.45
S&P 500,ABT,Abbott Laboratories,USD,2021-04-14,0.45
S&P 500,ABT,Abbott Laboratories,USD,2021-07-14,0.45
S&P 500,ABT,Abbott Laboratories,USD,2021-10-14,0.45
S&P 500,ABT,Abbott Laboratories,USD,2022-01-13,0.47
S&P 500,ABT,Abbott Laboratories,USD,2022-04-13,0.47
S&P 500,ABT,Abbott Laboratories,USD,2022-07-14,0.47
S&P 500,ABT,Abbott Laboratories,USD,2022-10-13,0.47
S&P 500,ABT,Abbott Laboratories,USD,2023-01-12,0.51
S&P 500,ABT,Abbott Laboratories,USD,2023-04-13,0.51
S&P 500,ABT,Abbott Laboratories,USD,2023-07-13,0.51
S&P 500,ABT,Abbott Laboratories,USD,2023-10-12,0.51
S&P 500,ABT,Abbott Laboratories,USD,2024-01-11,0.55
S&P 500,ABT,Abbott Laboratories,USD,2024-04-12,0.55
S&P 500,ABT,Abbott Laboratories,USD,2024-07-15,0.55
S&P 500,ABT,Abbott Laboratories,USD,2024-10-15,0.55
S&P 500,ABT,Abbott Laboratories,USD,2025-01-15,0.59
S&P 500,ABT,Abbott Laboratories,USD,2025-04-15,0.59
S&P 500,ABT,Abbott Laboratories,USD,2025-07-15,0.59
S&P 500,ACGL,Arch Capital Group,USD,2024-11-18,5.0
S&P 500,ACN,Accenture,USD,2020-10-09,0.88
S&P 500,ACN,Accenture,USD,2021-01-13,0.88
S&P 500,ACN,Accenture,USD,2021-04-14,0.88
S&P 500,ACN,Accenture,USD,2021-07-14,0.88
S&P 500,ACN,Accenture,USD,2021-10-13,0.97
S&P 500,ACN,Accenture,USD,2022-01-12,0.97
S&P 500,ACN,Accenture,USD,2022-04-13,0.97
S&P 500,ACN,Accenture,USD,2022-07-13,0.97
S&P 500,ACN,Accenture,USD,2022-10-12,1.12
S&P 500,ACN,Accenture,USD,2023-01-11,1.12
S&P 500,ACN,Accenture,USD,2023-04-12,1.12
S&P 500,ACN,Accenture,USD,2023-07-12,1.12
S&P 500,ACN,Accenture,USD,2023-10-11,1.29
S&P 500,ACN,Accenture,USD,2024-01-17,1.29
S&P 500,ACN,Accenture,USD,2024-04-10,1.29
S&P 500,ACN,Accenture,USD,2024-07-11,1.29
S&P 500,ACN,Accenture,USD,2024-10-10,1.48
S&P 500,ACN,Accenture,USD,2025-01-16,1.48
S&P 500,ACN,Accenture,USD,2025-04-10,1.48
S&P 500,ACN,Accenture,USD,2025-07-10,1.48
S&P 500,ADI,Analog Devices,USD,2020-08-27,0.62
S&P 500,ADI,Analog Devices,USD,2020-12-03,0.62
S&P 500,ADI,Analog Devices,USD,2021-02-25,0.69
S&P 500,ADI,Analog Devices,USD,2021-05-27,0.69
S&P 500,ADI,Analog Devices,USD,2021-08-26,0.69
S&P 500,ADI,Analog Devices,USD,2021-12-02,0.69
S&P 500,ADI,Analog Devices,USD,2022-02-24,0.76
S&P 500,ADI,Analog Devices,USD,2022-05-27,0.76
S&P 500,ADI,Analog Devices,USD,2022-08-29,0.76
S&P 500,ADI,Analog Devices,USD,2022-12-02,0.76
S&P 500,ADI,Analog Devices,USD,2023-02-24,0.86
S&P 500,ADI,Analog Devices,USD,2023-06-02,0.86
S&P 500,ADI,Analog Devices,USD,2023-09-01,0.86
S&P 500,ADI,Analog Devices,USD,2023-12-01,0.86
S&P 500,ADI,Analog Devices,USD,2024-03-04,0.92
S&P 500,ADI,Analog Devices,USD,2024-06-04,0.92
S&P 500,ADI,Analog Devices,USD,2024-09-03,0.92
S&P 500,ADI,Analog Devices,USD,2024-12-09,0.92
S&P 500,ADI,Analog Devices,USD,2025-03-04,0.99
S&P 500,ADI,Analog Devices,USD,2025-06-04,0.99
S&P 500,ADM,Archer Daniels Midland,USD,2020-08-18,0.36
S&P 500,ADM,Archer Daniels Midland,USD,2020-11-18,0.36
S&P 500,ADM,Archer Daniels Midland,USD,2021-02-08,0.37
S&P 500,ADM,Archer Daniels Midland,USD,2021-05-18,0.37
S&P 500,ADM,Archer Daniels Midland,USD,2021-08-17,0.37
S&P 500,ADM,Archer Daniels Midland,USD,2021-11-16,0.37
S&P 500,ADM,Archer Daniels Midland,USD,2022-02-07,0.4
S&P 500,ADM,Archer Daniels Midland,USD,2022-05-17,0.4
S&P 500,ADM,Archer Daniels Midland,USD,2022-08-16,0.4
S&P 500,ADM,Archer Daniels Midland,USD,2022-11-15,0.4
S&P 500,ADM,Archer Daniels Midland,USD,2023-02-08,0.45
S&P 500,ADM,Archer Daniels Midland,USD,2023-05-16,0.45
S&P 500,ADM,Archer Daniels Midland,USD,2023-08-15,0.45
S&P 500,ADM,Archer Daniels Midland,USD,2023-11-14,0.45
S&P 500,ADM,Archer Daniels Midland,USD,2024-02-07,0.5
S&P 500,ADM,Archer Daniels Midland,USD,2024-05-15,0.5
S&P 500,ADM,Archer Daniels Midland,USD,2024-08-21,0.5
S&P 500,ADM,Archer Daniels Midland,USD,2024-11-21,0.5
S&P 500,ADM,Archer Daniels Midland,USD,2025-02-18,0.51
S&P 500,ADM,Archer Daniels Midland,USD,2025-05-21,0.51
