Index,Ticker,Name,Currency,LastDividendDate,LastDividend,TTM_Dividend,TotalDividend_5y,EventsCount_5y,error
S&P 500,BKNG,Booking Holdings,USD,2025-06-06,9.6,36.7,54.2,6,
S&P 500,BLK,BlackRock,USD,2025-06-05,5.21,20.62,94.11999999999998,20,
S&P 500,EQIX,Equinix,USD,2025-05-21,4.69,17.900000000000002,70.11,20,
S&P 500,LMT,Lockheed Martin,USD,2025-06-02,3.3,13.05,58.499999999999986,20,
S&P 500,PSA,Public Storage,USD,2025-06-12,3.0,12.0,63.15,21,
S&P 500,GS,Goldman Sachs,USD,2025-05-30,3.0,12.0,46.0,20,
S&P 500,CME,CME Group,USD,2025-06-09,1.25,10.6,42.1,25,
S&P 500,ESS,Essex Property Trust,USD,2025-06-30,2.57,10.040000000000001,45.496,20,
S&P 500,AMGN,Amgen,USD,2025-05-16,2.38,9.26,40.28,20,
S&P 500,HD,Home Depot (The),USD,2025-06-05,2.3,9.1,39.16,20,
S&P 500,UNH,UnitedHealth Group,USD,2025-06-16,2.21,8.510000000000002,34.28,20,
S&P 500,NOC,Northrop Grumman,USD,2025-06-02,2.31,8.49,35.580000000000005,20,
S&P 500,GWW,W. W. Grainger,USD,2025-05-12,2.26,8.41,34.32,19,
S&P 500,SPG,Simon Property Group,USD,2025-06-09,2.1,8.35,35.1,20,
S&P 500,SNA,Snap-on,USD,2025-05-20,2.14,8.280000000000001,32.02,20,
S&P 500,CMI,Cummins,USD,2025-05-23,1.82,7.28,31.441,20,
S&P 500,APD,Air Products,USD,2025-07-01,1.79,7.12,32.82,20,
S&P 500,MCD,McDonald's,USD,2025-06-02,1.77,6.98,30.000000000000004,20,
S&P 500,AVB,AvalonBay Communities,USD,2025-06-30,1.75,6.9,32.8,20,
S&P 500,URI,United Rentals,USD,2025-05-14,1.79,6.84,16.019999999999996,10,
S&P 500,MSCI,MSCI Inc.,USD,2025-05-16,1.8,6.8,25.300000000000004,20,
S&P 500,KLAC,KLA Corporation,USD,2025-05-19,1.9,6.75,25.4,20,
S&P 500,PH,Parker Hannifin,USD,2025-05-09,1.8,6.6899999999999995,26.319999999999997,20,
S&P 500,CVX,Chevron Corporation,USD,2025-05-19,1.71,6.68,29.55,20,
S&P 500,ELV,Elevance Health,USD,2025-06-10,1.71,6.68,27.4,20,
S&P 500,AMT,American Tower,USD,2025-06-13,1.7,6.640000000000001,29.750000000000004,20,
S&P 500,PNC,PNC Financial Services,USD,2025-07-15,1.7,6.500000000000001,29.000000000000007,20,
S&P 500,DPZ,Domino's,USD,2025-06-13,1.74,6.5,24.080000000000005,20,
S&P 500,EXR,Extra Space Storage,USD,2025-06-16,1.62,6.48,28.50000000000001,21,
S&P 500,DE,Deere & Company,USD,2025-06-30,1.62,6.33,24.52,20,
S&P 500,MAA,Mid-America Apartment Communities,USD,2025-07-15,1.515,6.015,25.801,20,
S&P 500,ITW,Illinois Tool Works,USD,2025-06-30,1.5,6.0,26.279999999999998,20,
S&P 500,TPL,Texas Pacific Land Corporation,USD,2025-06-02,1.6,5.970000000000001,40.306667000000004,20,
S&P 500,ACN,Accenture,USD,2025-07-10,1.48,5.92,22.96,20,
S&P 500,GD,General Dynamics,USD,2025-07-03,1.5,5.84,25.96,20,
S&P 500,CI,Cigna,USD,2025-06-03,1.51,5.819999999999999,22.020000000000003,18,
S&P 500,LIN,Linde plc,USD,2025-06-04,1.5,5.779999999999999,24.506000000000004,20,
S&P 500,CCI,Crown Castle,USD,2025-06-13,1.063,5.758,29.11300000000001,20,
S&P 500,CAT,Caterpillar Inc.,USD,2025-07-21,1.51,5.739999999999999,24.680000000000003,20,
S&P 500,DRI,Darden Restaurants,USD,2025-07-10,1.5,5.699999999999999,23.129999999999995,20,
S&P 500,MPWR,Monolithic Power Systems,USD,2025-06-30,1.56,5.620000000000001,18.52,20,
S&P 500,LLY,Lilly (Eli),USD,2025-05-16,1.5,5.6,21.52,20,
S&P 500,PEP,PepsiCo,USD,2025-06-06,1.423,5.4879999999999995,23.872000000000007,20,
S&P 500,HSY,Hershey Company (The),USD,2025-05-16,1.37,5.48,21.568000000000005,20,
S&P 500,TXN,Texas Instruments,USD,2025-07-31,1.36,5.44,24.28,20,
S&P 500,PM,Philip Morris International,USD,2025-06-27,1.35,5.4,25.480000000000008,20,
S&P 500,MTB,M&T Bank,USD,2025-06-02,1.35,5.4,24.750000000000007,20,
S&P 500,LYB,LyondellBasell,USD,2025-06-02,1.37,5.390000000000001,29.36,20,
S&P 500,ERIE,Erie Indemnity,USD,2025-07-08,1.365,5.37,25.499999999999986,21,
S&P 500,HII,Huntington Ingalls Industries,USD,2025-05-30,1.35,5.35,24.520000000000007,20,
S&P 500,PRU,Prudential Financial,USD,2025-05-20,1.35,5.300000000000001,24.500000000000004,20,
S&P 500,JPM,JPMorgan Chase,USD,2025-07-03,1.4,5.3,21.299999999999997,20,
S&P 500,ARE,Alexandria Real Estate Equities,USD,2025-06-30,1.32,5.260000000000001,24.140000000000004,20,
S&P 500,FANG,Diamondback Energy,USD,2025-05-15,1.0,5.24,29.74,20,
S&P 500,HUBB,Hubbell Incorporated,USD,2025-05-30,1.32,5.180000000000001,22.35,20,
S&P 500,ROK,Rockwell Automation,USD,2025-05-19,1.31,5.18,23.429999999999996,20,
S&P 500,PKG,Packaging Corporation of America,USD,2025-06-13,1.25,5.0,23.04,20,
S&P 500,ACGL,Arch Capital Group,USD,2024-11-18,5.0,5.0,5.0,1,
S&P 500,KMB,Kimberly-Clark,USD,2025-06-06,1.26,4.96,23.459999999999997,20,
S&P 500,COST,Costco,USD,2025-08-01,1.3,4.92,44.479999999999976,22,
S&P 500,PGR,Progressive Corporation,USD,2025-07-03,0.1,4.899999999999999,13.249999999999993,21,
S&P 500,DLR,Digital Realty,USD,2025-06-13,1.22,4.88,23.959999999999997,20,
S&P 500,CLX,Clorox,USD,2025-04-23,1.22,4.88,22.369999999999994,19,
S&P 500,POOL,Pool Corporation,USD,2025-05-15,1.25,4.85,19.389999999999997,20,
S&P 500,LII,Lennox International,USD,2025-06-30,1.3,4.75,20.529999999999998,20,
S&P 500,PSX,Phillips 66,USD,2025-05-19,1.2,4.6499999999999995,20.3,20,
S&P 500,TGT,Target Corporation,USD,2025-05-14,1.12,4.48,19.520000000000003,20,
S&P 500,HON,Honeywell,USD,2025-05-16,1.13,4.47,20.369999999999994,20,
S&P 500,VLO,Valero Energy,USD,2025-07-31,1.13,4.46,20.569999999999997,20,
S&P 500,FRT,Federal Realty Investment Trust,USD,2025-07-01,1.1,4.4,21.60000000000001,20,
S&P 500,DTE,DTE Energy,USD,2025-06-16,1.09,4.29,19.159339999999997,20,
S&P 500,BX,Blackstone Inc.,USD,2025-08-04,1.03,4.26,19.220000000000002,20,
S&P 500,PCAR,Paccar,USD,2025-05-14,0.33,4.26,14.650002,25,
S&P 500,TRV,Travelers Companies (The),USD,2025-06-10,1.1,4.25,19.090000000000003,20,
S&P 500,MSI,Motorola Solutions,USD,2025-06-13,1.09,4.25,17.350000000000005,20,
S&P 500,FDS,FactSet,USD,2025-05-30,1.1,4.220000000000001,18.330000000000002,20,
S&P 500,SBAC,SBA Communications,USD,2025-05-22,1.11,4.180000000000001,15.629999999999999,20,
S&P 500,DUK,Duke Energy,USD,2025-05-16,1.045,4.18,20.1,20,
S&P 500,CPT,Camden Property Trust,USD,2025-06-30,1.05,4.16,18.959999999999997,20,
S&P 500,INTU,Intuit,USD,2025-07-10,1.04,4.16,15.96,20,
S&P 500,PG,Procter & Gamble,USD,2025-07-18,1.057,4.128,18.62,20,
S&P 500,PAYX,Paychex,USD,2025-07-21,1.08,4.12,16.680000000000003,20,
S&P 500,MO,Altria,USD,2025-06-16,1.02,4.08,18.8,20,
S&P 500,GPC,Genuine Parts Company,USD,2025-06-06,1.03,4.0600000000000005,18.279999999999998,20,
S&P 500,NXPI,NXP Semiconductors,USD,2025-06-25,1.014,4.056,16.521999999999995,20,
S&P 500,PLD,Prologis,USD,2025-06-17,1.01,3.9399999999999995,16.18,20,
S&P 500,XOM,ExxonMobil,USD,2025-05-15,0.99,3.92,18.279999999999994,20,
S&P 500,ALL,Allstate,USD,2025-06-09,1.0,3.84,16.96,20,
S&P 500,EOG,EOG Resources,USD,2025-07-17,0.975,3.835,26.154000000000003,27,
S&P 500,ADI,Analog Devices,USD,2025-06-04,0.99,3.8200000000000003,16.139999999999997,20,
S&P 500,BBY,Best Buy,USD,2025-06-18,0.95,3.7800000000000002,16.759999999999998,20,
S&P 500,MS,Morgan Stanley,USD,2025-07-31,1.0,3.7750000000000004,15.050000000000002,20,
S&P 500,SPGI,S&P Global,USD,2025-05-28,0.96,3.74,16.900000000000002,20,
S&P 500,CB,Chubb Limited,USD,2025-06-13,0.97,3.7,16.909999999999997,20,
S&P 500,AEP,American Electric Power,USD,2025-05-09,0.93,3.6700000000000004,15.710000000000003,19,
S&P 500,WTW,Willis Towers Watson,USD,2025-06-30,0.92,3.6,16.410000000000004,20,
S&P 500,PNW,Pinnacle West Capital,USD,2025-08-01,0.895,3.58,17.28,20,
S&P 500,AVY,Avery Dennison,USD,2025-06-04,0.94,3.58,15.240000000000004,20,
S&P 500,MCO,Moody's Corporation,USD,2025-05-16,0.94,3.5799999999999996,14.759999999999998,20,
S&P 500,MPC,Marathon Petroleum,USD,2025-05-21,0.91,3.555,14.249999999999996,20,
S&P 500,HUM,Humana,USD,2025-06-27,0.885,3.54,16.052,20,
S&P 500,BR,Broadridge Financial Solutions,USD,2025-06-12,0.88,3.52,14.480000000000004,20,
S&P 500,TRGP,Targa Resources,USD,2025-07-31,1.0,3.5,9.25,20,
S&P 500,WEC,WEC Energy Group,USD,2025-05-14,0.893,3.4559999999999995,15.136000000000003,20,
S&P 500,QCOM,Qualcomm,USD,2025-06-05,0.89,3.44,15.160000000000002,20,
S&P 500,ATO,Atmos Energy,USD,2025-05-27,0.87,3.415,14.584999999999997,20,
S&P 500,RL,Ralph Lauren Corporation,USD,2025-06-27,0.913,3.388,12.964999999999996,17,
S&P 500,ED,Consolidated Edison,USD,2025-05-14,0.85,3.36,16.05,20,
S&P 500,MMC,Marsh McLennan,USD,2025-07-24,0.9,3.3449999999999998,12.894999999999998,20,
S&P 500,EMN,Eastman Chemical Company,USD,2025-06-13,0.83,3.3000000000000003,15.35,20,
S&P 500,TMUS,T-Mobile US,USD,2025-05-30,0.88,3.29,5.24,7,
S&P 500,SWK,Stanley Black & Decker,USD,2025-06-03,0.82,3.28,15.680000000000003,20,
S&P 500,EIX,Edison International,USD,2025-07-07,0.828,3.264,14.645999999999995,20,
S&P 500,MSFT,Microsoft,USD,2025-05-15,0.83,3.24,13.44,20,
S&P 500,ROP,Roper Technologies,USD,2025-07-08,0.825,3.2249999999999996,13.451999999999998,20,
S&P 500,MRK,Merck & Co.,USD,2025-06-16,0.81,3.2,14.312519,20,
S&P 500,O,Realty Income,USD,2025-08-01,0.269,3.1960000000000006,14.956663999999998,60,
S&P 500,MLM,Martin Marietta Materials,USD,2025-06-02,0.79,3.16,13.479999999999997,20,
S&P 500,GRMN,Garmin,USD,2025-06-16,0.9,3.15,14.250000000000004,20,
S&P 500,AWK,American Water Works,USD,2025-05-13,0.828,3.1229999999999998,13.402000000000003,20,
S&P 500,COP,ConocoPhillips,USD,2025-05-19,0.78,3.12,15.959999999999996,27,
S&P 500,GILD,Gilead Sciences,USD,2025-06-13,0.79,3.12,14.779999999999998,20,
S&P 500,AIZ,Assurant,USD,2025-06-09,0.8,3.12,14.070000000000004,20,
S&P 500,NDSN,Nordson Corporation,USD,2025-06-18,0.78,3.12,12.039999999999997,20,
S&P 500,DGX,Quest Diagnostics,USD,2025-07-07,0.8,3.0999999999999996,13.680000000000003,20,
S&P 500,STT,State Street Corporation,USD,2025-07-01,0.76,3.04,12.679999999999996,20,
S&P 500,AXP,American Express,USD,2025-07-03,0.82,3.0399999999999996,11.499999999999998,20,
S&P 500,SHW,Sherwin-Williams,USD,2025-05-16,0.79,3.01,12.353334,20,
S&P 500,NTRS,Northern Trust,USD,2025-06-06,0.75,3.0,14.600000000000001,20,
S&P 500,MKTX,MarketAxess,USD,2025-05-21,0.76,3.0,13.400000000000002,19,
S&P 500,IRM,Iron Mountain,USD,2025-06-16,0.785,3.0,13.027999999999999,20,
S&P 500,PFG,Principal Financial Group,USD,2025-06-02,0.76,2.96,13.079999999999998,20,
S&P 500,ES,Eversource Energy,USD,2025-05-15,0.753,2.936,13.165999999999999,20,
S&P 500,SO,Southern Company,USD,2025-05-19,0.74,2.9000000000000004,13.700000000000001,20,
S&P 500,MMM,3M,USD,2025-05-23,0.73,2.86,22.230567999999998,20,
S&P 500,AON,Aon plc,USD,2025-08-01,0.745,2.8400000000000003,11.850000000000003,20,
S&P 500,MDT,Medtronic,USD,2025-06-27,0.71,2.8099999999999996,13.249999999999993,20,
S&P 500,DOW,Dow Inc.,USD,2025-05-30,0.7,2.8,13.999999999999995,20,
S&P 500,OMC,Omnicom Group,USD,2025-06-10,0.7,2.8,13.899999999999995,20,
S&P 500,IEX,IDEX Corporation,USD,2025-07-11,0.71,2.8,12.299999999999997,20,
S&P 500,SWKS,Skyworks Solutions,USD,2025-05-27,0.7,2.8,12.239999999999997,20,
S&P 500,REG,Regency Centers,USD,2025-06-11,0.705,2.785,12.870000000000001,20,
S&P 500,YUM,Yum! Brands,USD,2025-05-27,0.71,2.76,11.740000000000002,20,
S&P 500,HCA,HCA Healthcare,USD,2025-06-16,0.72,2.76,10.98,20,
S&P 500,BG,Bunge Global,USD,2025-05-19,0.7,2.74,12.008999999999999,20,
S&P 500,EQR,Equity Residential,USD,2025-06-24,0.693,2.736,12.856000000000002,20,
S&P 500,PPG,PPG Industries,USD,2025-05-12,0.68,2.72,11.78,19,
S&P 500,VZ,Verizon,USD,2025-07-10,0.678,2.712,13.056000000000001,20,
S&P 500,WELL,Welltower,USD,2025-05-14,0.67,2.68,12.44,20,
S&P 500,D,Dominion Energy,USD,2025-05-29,0.668,2.672,13.441999999999995,20,
S&P 500,CVS,CVS Health,USD,2025-07-22,0.665,2.66,11.774999999999999,20,
S&P 500,TEL,TE Connectivity,USD,2025-05-21,0.71,2.66,11.350000000000001,20,
S&P 500,EVRG,Evergy,USD,2025-05-23,0.668,2.6470000000000002,11.965,20,
S&P 500,SRE,Sempra,USD,2025-06-26,0.645,2.5300000000000002,11.684999999999995,20,
S&P 500,ECL,Ecolab,USD,2025-06-17,0.65,2.52,10.780000000000001,20,
S&P 500,CBOE,Cboe Global Markets,USD,2025-05-30,0.63,2.52,10.320000000000002,20,
S&P 500,AJG,Arthur J. Gallagher & Co.,USD,2025-06-06,0.65,2.5,10.759999999999998,20,
S&P 500,CDW,CDW Corporation,USD,2025-05-23,0.625,2.495,10.694999999999999,20,
S&P 500,CHRW,C.H. Robinson,USD,2025-06-06,0.62,2.48,12.049999999999995,21,
S&P 500,PEG,Public Service Enterprise Group,USD,2025-06-09,0.63,2.46,11.120000000000001,20,
S&P 500,BMY,Bristol Myers Squibb,USD,2025-07-03,0.62,2.46,11.109999999999998,20,
S&P 500,WSM,"Williams-Sonoma, Inc.",USD,2025-07-18,0.66,2.46,8.785000000000002,20,
S&P 500,RCL,Royal Caribbean Group,USD,2025-06-04,0.75,2.45,2.45,4,
S&P 500,GIS,General Mills,USD,2025-07-10,0.61,2.4099999999999997,11.099999999999998,20,
S&P 500,SBUX,Starbucks,USD,2025-05-16,0.61,2.4,9.99,19,
S&P 500,DG,Dollar General,USD,2025-07-08,0.59,2.36,10.499999999999998,20,
S&P 500,ABT,Abbott Laboratories,USD,2025-07-15,0.59,2.32,10.049999999999997,20,
S&P 500,RSG,Republic Services,USD,2025-07-02,0.58,2.32,9.98,20,
S&P 500,EXE,Expand Energy,USD,2025-05-15,0.575,2.3,17.923999999999996,17,
S&P 500,AVGO,Broadcom,USD,2025-06-20,0.59,2.3,9.120000000000001,20,
S&P 500,V,Visa Inc.,USD,2025-05-13,0.59,2.2899999999999996,8.729999999999999,20,
S&P 500,C,Citigroup,USD,2025-08-04,0.6,2.2800000000000002,10.57,20,
S&P 500,K,Kellanova,USD,2025-06-02,0.57,2.28,11.067982000000002,20,
S&P 500,JKHY,Jack Henry & Associates,USD,2025-05-29,0.58,2.2600000000000002,10.100000000000001,20,
S&P 500,XEL,Xcel Energy,USD,2025-06-13,0.57,2.2359999999999998,10.056,20,
S&P 500,MET,MetLife,USD,2025-08-05,0.568,2.226,10.235999999999997,20,
S&P 500,NUE,Nucor,USD,2025-06-30,0.55,2.1900000000000004,9.873000000000001,20,
S&P 500,NEE,NextEra Energy,USD,2025-06-02,0.567,2.1639999999999997,9.005999999999998,20,
S&P 500,COR,Cencora,USD,2025-05-16,0.55,2.16,17.140000000000004,26,
S&P 500,AFL,Aflac,USD,2025-05-21,0.58,2.16,8.32,20,
S&P 500,RMD,ResMed,USD,2025-05-08,0.53,2.12,9.040000000000001,20,
S&P 500,EMR,Emerson Electric,USD,2025-05-16,0.528,2.109,10.344000000000001,20,
S&P 500,NTAP,NetApp,USD,2025-07-03,0.52,2.08,10.039999999999997,20,
S&P 500,TFC,Truist Financial,USD,2025-05-09,0.52,2.08,9.959999999999996,20,
