Index,Ticker,Name,Currency,EventDate,Dividend
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2020-09-01,0.195
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2020-10-01,0.202
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2020-11-02,0.192
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2020-12-01,0.206
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2020-12-17,0.125
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-02-01,0.192
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-03-01,0.19
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-04-01,0.172
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-05-03,0.173
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-06-01,0.167
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-07-01,0.156
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-08-02,0.167
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-09-01,0.167
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-10-01,0.18
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-11-01,0.18
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-12-01,0.162
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2021-12-16,0.117
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-02-01,0.161
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-03-01,0.161
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-04-01,0.16
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-05-02,0.181
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-06-01,0.186
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-07-01,0.186
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-08-01,0.2
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-09-01,0.204
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-10-03,0.211
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-11-01,0.216
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-12-01,0.226
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2022-12-15,0.226
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2023-02-01,0.245
US ETF,AGG,iShares Core U.S. Aggregate Bond ETF,USD,2023-03-01,0.234
